# Directed graph (each unordered pair of nodes is saved once): facebook_combined.txt

# Information about the newly-created network is:
Name: 
Type: Graph
Number of nodes: 4039
Number of edges: 88234
Average degree:  43.6910

# Compute the following node measures:

# Top 10 nodes by degree centrality:
(107, 0.258791480931154) 
(1684, 0.1961367013372957) 
(1912, 0.18697374938088163) 
(3437, 0.13546310054482416) 
(0, 0.08593363051015354) 
(2543, 0.07280832095096582) 
(2347, 0.07206537890044576) 
(1888, 0.0629024269440317) 
(1800, 0.06067360079247152) 
(1663, 0.058197127290737984) 
 
# Top 10 nodes by closeness centrality: 
(107, 0.45969945355191255) 
(58, 0.3974018305284913) 
(428, 0.3948371956585509) 
(563, 0.3939127889961955) 
(1684, 0.39360561458231796) 
(171, 0.37049270575282134) 
(348, 0.36991572004397216) 
(483, 0.3698479575013739) 
(414, 0.3695433330282786) 
(376, 0.36655773420479304) 
 
# Top 10 nodes by betweenness centrality: 
(107, 0.4805180785560145) 
(1684, 0.3377974497302) 
(3437, 0.23611535735892794) 
(1912, 0.22929533958687845) 
(1085, 0.14901509211665237) 
(0, 0.14630592147442847) 
(698, 0.11533045020560787) 
(567, 0.09631033121856226) 
(58, 0.08436020590796656) 
(428, 0.0643090623932386) 
 
# Top 10 nodes by Eigenvector centrality:
(1912, 0.09540696149067635)
(2266, 0.08698327767886556)
(2206, 0.08605239270584346)
(2233, 0.08517340912756602)
(2464, 0.08427877475676095)
(2142, 0.084193118979918)
(2218, 0.08415573568055035)
(2078, 0.08413617041724979)
(2123, 0.08367141238206227)
(1993, 0.08353242840815973)
 
# Top 10 nodes by Pagerank centrality: 
(3437, 0.007614586844749602) 
(107, 0.006936420955866113) 
(1684, 0.006367162138306825) 
(0, 0.006289602618466542) 
(1912, 0.0038769716008844957) 
(348, 0.002348096972780577) 
(686, 0.0022193592598000193) 
(3980, 0.0021703235790099928) 
(414, 0.0018002990470702264) 
(698, 0.0013171153138368812) 
 
# Top 500 nodes by Clustering centrality
(32, 1.0) 
(33, 1.0) 
(35, 1.0) 
(42, 1.0) 
(44, 1.0) 
(46, 1.0) 
(47, 1.0) 
(52, 1.0) 
(63, 1.0) 
(70, 1.0) 
(71, 1.0) 
(76, 1.0) 
(78, 1.0) 
(86, 1.0) 
(90, 1.0) 
(102, 1.0) 
(110, 1.0) 
(112, 1.0) 
(131, 1.0) 
(135, 1.0) 
(138, 1.0) 
(145, 1.0) 
(153, 1.0) 
(154, 1.0) 
(160, 1.0) 
(183, 1.0) 
(191, 1.0) 
(195, 1.0) 
(201, 1.0) 
(205, 1.0) 
(207, 1.0) 
(216, 1.0) 
(218, 1.0) 
(220, 1.0) 
(228, 1.0) 
(233, 1.0) 
(234, 1.0) 
(241, 1.0) 
(244, 1.0) 
(255, 1.0) 
(256, 1.0) 
(262, 1.0) 
(264, 1.0) 
(267, 1.0) 
(273, 1.0) 
(279, 1.0) 
(282, 1.0) 
(286, 1.0) 
(293, 1.0) 
(305, 1.0) 
(306, 1.0) 
(309, 1.0) 
(316, 1.0) 
(321, 1.0) 
(327, 1.0) 
(328, 1.0) 
(336, 1.0) 
(377, 1.0) 
(379, 1.0) 
(393, 1.0) 
(401, 1.0) 
(443, 1.0) 
(448, 1.0) 
(454, 1.0) 
(467, 1.0) 
(468, 1.0) 
(476, 1.0) 
(485, 1.0) 
(499, 1.0) 
